Model,MAE,R²
Linear Regression,91787.74858252435,0.26346539450471107
Ridge Regression,91787.76115854792,0.263465410983893
Lasso Regression,91787.73254971817,0.26346540993770484
Decision Tree,19181.369718081092,0.8220013552772807
Random Forest,17266.82173462581,0.8769100158594257
Gradient Boosting,66701.24471119978,0.5805131672905324
XGBoost,35781.40137808672,0.8612063110484165
LightGBM,47860.63985002196,0.7991868619142115
Stacking Regressor,20872.836696641793,0.8798689406273796
